baseline_id,baseline_label,run_count,completed_runs,total_rounds,avg_rounds_per_run,total_feedback_events,avg_feedback_events_per_run,selected_candidate_count,failing_candidate_count
updater_linear_preference,Updater: linear preference,9,9,18,2.0,9,1.0,9,7
updater_winner_average,Updater: winner average,9,9,18,2.0,9,1.0,9,8
updater_winner_copy,Updater: winner copy,9,9,18,2.0,9,1.0,9,8
