target_id,target_label,repeats,mean_final_clip,std_final_clip,mean_delta_clip,std_delta_clip,mean_final_dinov2,std_final_dinov2,mean_delta_dinov2,std_delta_dinov2
cat_portrait_bw,Black-and-white cat portrait,3,0.877281,0.007537,0.028699,0.020753,0.554968,0.104125,0.127835,0.073302
mountain_lake,Mountain lake landscape,3,0.849829,0.00499,0.045073,0.031665,0.5032,0.048381,0.150132,0.100368
red_bicycle,Red bicycle street photo,3,0.905811,0.009576,0.042271,0.01806,0.711266,0.015801,0.013962,0.031489
