policy_id,policy_label,oracle_policy,sampler,updater,feedback_mode,target_count,mean_baseline_clip,mean_final_clip,mean_delta_clip,mean_baseline_dinov2,mean_final_dinov2,mean_delta_dinov2,mean_late_improvement_rounds,incumbent_selection_share,mean_incumbent_margin_clip,mean_unique_selected_ratio,plateau_run_share
baseline_clip,Baseline CLIP oracle,clip_only,exploit_orthogonal,linear_preference,winner_only,3,0.84221,0.862665,0.020455,0.445954,0.553071,0.107117,0.333333,0.733333,0.006293,0.388889,0.666667
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,two_scale_cover,bradley_terry_preference,top_k,3,0.820812,0.853535,0.032723,0.522952,0.610264,0.087312,0.0,0.6,0.007491,0.5,0.666667
qd_sampler,Quality-diversity sampler,clip_only,quality_diversity_mix,linear_preference,winner_only,3,0.819483,0.863374,0.043891,0.519456,0.611287,0.091831,1.0,0.533333,0.002473,0.555555,0.666667
pl_listwise,Plackett-Luce listwise,clip_only,quality_diversity_mix,plackett_luce_preference,top_k,3,0.830436,0.851379,0.020942,0.382813,0.565122,0.182309,1.0,0.666667,0.003996,0.444444,0.333333
pareto_listwise,Pareto listwise,pareto_frontier_mix,quality_diversity_mix,plackett_luce_preference,top_k,3,0.813406,0.861937,0.04853,0.513056,0.655121,0.142065,0.666667,0.2,0.000879,0.833333,0.0
