run_id,cell_id,trial_id,repeat_index,prompt_id,prompt_label,baseline_id,baseline_label,session_id,round_id,round_index,candidate_id,candidate_index,sampler_role,seed,render_status,image_path,carried_forward,selected,z,generation_params,entropy,channel_stddev,brightness_mean,edge_mean,passed_checks,failed_checks
product_hero_shot__no_update_random_sampling__r2,product_hero_shot__no_update_random_sampling,r2,1,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_ebfe9846426d,rnd_2150d12a1b07,1,cand_6a58622d7166,2,explore,2389708878,succeeded,/artifacts/cand_6a58622d7166.png,False,False,"[0.10041051173996655, -0.5575892727255362, -0.3192220157650771, 0.17619281579476828, -0.1536985930635594]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.25, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [0.0, -0.8331, -0.4582, 0.2499, -0.1833], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""proposal_role_radius"": 0.49500000000000005, ""round_seed"": 2389708878, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_mode"": ""low_dimensional""}",7.674,64.888,92.199,24.082,5,[]
product_hero_shot__no_update_random_sampling__r2,product_hero_shot__no_update_random_sampling,r2,1,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_ebfe9846426d,rnd_2150d12a1b07,1,cand_e79867c133df,3,explore,2389708878,succeeded,/artifacts/cand_e79867c133df.png,False,False,"[0.10877663032322502, -0.12025633700545593, 0.5199821748788076, 0.3336932352436259, -0.21681561035764652]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.35, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [0.1833, 0.0, 0.8331, 0.4582, -0.2499], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""proposal_role_radius"": 0.49500000000000005, ""round_seed"": 2389708878, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_mode"": ""low_dimensional""}",7.689,65.035,93.51,23.979,5,[]
product_hero_shot__no_update_random_sampling__r2,product_hero_shot__no_update_random_sampling,r2,1,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_ebfe9846426d,rnd_2150d12a1b07,1,cand_7c002ebdf971,4,explore,2389708878,succeeded,/artifacts/cand_7c002ebdf971.png,False,False,"[-0.16510343426884663, -0.14568976882744214, 0.14419459566737683, -0.5439955058718624, 0.2920529640587877]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.45, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [-0.2499, -0.1833, 0.0, -0.8331, 0.4582], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""proposal_role_radius"": 0.49500000000000005, ""round_seed"": 2389708878, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_mode"": ""low_dimensional""}",7.693,65.334,92.827,24.657,5,[]
product_hero_shot__no_update_random_sampling__r3,product_hero_shot__no_update_random_sampling,r3,2,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_7aba0df8c0dc,rnd_fb9c2ab8800e,1,cand_e79bb4eddbe0,0,baseline_prompt,247908447,succeeded,/artifacts/cand_e79bb4eddbe0.png,False,False,"[0.0, 0.0, 0.0, 0.0, 0.0]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""baseline_prompt"": true, ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 247908447, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_applied"": false, ""steering_mode"": ""low_dimensional""}",7.819,69.117,111.073,25.816,5,[]
product_hero_shot__no_update_random_sampling__r3,product_hero_shot__no_update_random_sampling,r3,2,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_7aba0df8c0dc,rnd_fb9c2ab8800e,1,cand_28d6d6780cc7,1,exploit,247908447,succeeded,/artifacts/cand_28d6d6780cc7.png,False,False,"[-0.08707593047072705, 0.0657890446310178, -0.0815431089635034, -0.0715205712523957, 0.006411958163639282]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 0.6, ""first_round_role_behavior"": ""keep_exploit_close"", ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""proposal_role_radius"": 0.15400000000000003, ""round_seed"": 247908447, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_mode"": ""low_dimensional""}",7.836,68.894,111.641,25.977,5,[]
product_hero_shot__no_update_random_sampling__r3,product_hero_shot__no_update_random_sampling,r3,2,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_7aba0df8c0dc,rnd_fb9c2ab8800e,1,cand_3a03515060c3,2,explore,247908447,succeeded,/artifacts/cand_3a03515060c3.png,False,False,"[0.13237063248203762, -0.5439684971189502, -0.30444453631751295, 0.18323263062135034, -0.14397763247183157]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.25, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [0.0, -0.8331, -0.4582, 0.2499, -0.1833], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""proposal_role_radius"": 0.49500000000000005, ""round_seed"": 247908447, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_mode"": ""low_dimensional""}",7.812,69.108,110.225,25.372,5,[]
product_hero_shot__no_update_random_sampling__r3,product_hero_shot__no_update_random_sampling,r3,2,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_7aba0df8c0dc,rnd_fb9c2ab8800e,1,cand_78d79e5f7d27,3,explore,247908447,succeeded,/artifacts/cand_78d79e5f7d27.png,False,False,"[0.12100495774075296, -0.12966962529835302, 0.5220606454409631, 0.3766812306237988, -0.1964353691442829]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.35, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [0.1833, 0.0, 0.8331, 0.4582, -0.2499], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""proposal_role_radius"": 0.49500000000000005, ""round_seed"": 247908447, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_mode"": ""low_dimensional""}",7.824,69.292,111.553,26.047,5,[]
product_hero_shot__no_update_random_sampling__r3,product_hero_shot__no_update_random_sampling,r3,2,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_7aba0df8c0dc,rnd_fb9c2ab8800e,1,cand_9de4ee7e022d,4,explore,247908447,succeeded,/artifacts/cand_9de4ee7e022d.png,False,False,"[-0.17973166983379638, -0.10762606236172365, 0.13769965732471157, -0.5376372573136613, 0.31754919748185556]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.45, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [-0.2499, -0.1833, 0.0, -0.8331, 0.4582], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""proposal_role_radius"": 0.49500000000000005, ""round_seed"": 247908447, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_mode"": ""low_dimensional""}",7.843,68.879,111.813,26.288,5,[]
product_hero_shot__stablesteering_default__r1,product_hero_shot__stablesteering_default,r1,0,product_hero_shot,Product hero shot,stablesteering_default,StableSteering default steering loop,ses_1542e8b9b1f2,rnd_ff47e8b1b0ad,1,cand_4dc9f1d3bf16,0,baseline_prompt,317480555,succeeded,/artifacts/cand_4dc9f1d3bf16.png,False,False,"[0.0, 0.0, 0.0, 0.0, 0.0]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""baseline_prompt"": true, ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 173084863, ""seed_group"": ""candidate:0"", ""seed_policy"": ""fixed-per-candidate"", ""steering_applied"": false, ""steering_mode"": ""low_dimensional""}",7.082,52.472,117.663,34.931,5,[]
product_hero_shot__stablesteering_default__r1,product_hero_shot__stablesteering_default,r1,0,product_hero_shot,Product hero shot,stablesteering_default,StableSteering default steering loop,ses_1542e8b9b1f2,rnd_ff47e8b1b0ad,1,cand_a147e999134b,1,exploit,3729847472,succeeded,/artifacts/cand_a147e999134b.png,False,False,"[0.18329393930796586, 0.02770758776819783, -0.0029245525497925222, 0.05170358648629059, 0.0031713608866709877]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 0.6, ""first_round_role_behavior"": ""keep_exploit_close"", ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 173084863, ""seed_group"": ""candidate:1"", ""seed_policy"": ""fixed-per-candidate"", ""steering_mode"": ""low_dimensional""}",7.455,53.934,113.13,21.685,5,[]
