policy_id,policy_label,target_id,target_label,repeat_index,session_id,round_id,round_index,winner_candidate_id,winner_sampler_role,candidate_count,selection_score,best_clip,baseline_clip,best_dinov2,baseline_dinov2
soft_penalty,soft incumbent penalty,mountain_lake,Mountain lake landscape,0,ses_d9a5069d008b,rnd_d2499c862bd9,5,cand_05392cef91c2,incumbent,5,0.839727,0.854727,0.826068,0.526697,0.417842
soft_penalty,soft incumbent penalty,mountain_lake,Mountain lake landscape,0,ses_d9a5069d008b,rnd_5aa1ed98e898,6,cand_95e3f6da9ecc,incumbent,5,0.839727,0.854727,0.826068,0.526697,0.417842
soft_penalty,soft incumbent penalty,red_bicycle,Red bicycle street photo,0,ses_fdd4acd8e16b,rnd_52af098f2eab,1,cand_dc12ee20302c,counter_probe,5,0.873664,0.873664,0.84375,0.702069,0.575188
soft_penalty,soft incumbent penalty,red_bicycle,Red bicycle street photo,0,ses_fdd4acd8e16b,rnd_8f706af647ff,2,cand_76e90584cc90,forward_escape,5,0.918294,0.918294,0.84375,0.752979,0.575188
soft_penalty,soft incumbent penalty,red_bicycle,Red bicycle street photo,0,ses_fdd4acd8e16b,rnd_5f3bc17188b6,3,cand_07f0006e4b24,incumbent,5,0.918294,0.918294,0.84375,0.75023,0.575188
soft_penalty,soft incumbent penalty,red_bicycle,Red bicycle street photo,0,ses_fdd4acd8e16b,rnd_58be6106ae37,4,cand_f287359cf3b5,incumbent,5,0.903294,0.918294,0.84375,0.75023,0.575188
soft_penalty,soft incumbent penalty,red_bicycle,Red bicycle street photo,0,ses_fdd4acd8e16b,rnd_4b3674f0e73a,5,cand_3b480c8c7694,incumbent,5,0.903294,0.918294,0.84375,0.75023,0.575188
soft_penalty,soft incumbent penalty,red_bicycle,Red bicycle street photo,0,ses_fdd4acd8e16b,rnd_be85a7e02bbb,6,cand_193195ae338e,incumbent,5,0.903294,0.918294,0.84375,0.75023,0.575188
hard_cooldown,hard incumbent cooldown,cat_portrait_bw,Black-and-white cat portrait,0,ses_cb03c4ca4daa,rnd_7efbc35ba9e9,1,cand_de75abcc5e90,counter_probe,5,0.87163,0.87163,0.858384,0.633312,0.40229
hard_cooldown,hard incumbent cooldown,cat_portrait_bw,Black-and-white cat portrait,0,ses_cb03c4ca4daa,rnd_17163d5100fa,2,cand_3a239ed7684c,incumbent,5,0.87163,0.87163,0.858384,0.624242,0.40229
