policy_id,policy_label,oracle_policy,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,winner_sampler_role,candidate_count,best_clip,baseline_clip,best_dinov2,baseline_dinov2,winner_oracle_score,winner_carried_forward
sampler_upgrade,Two-scale cover sampler,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_a7b92e57341b,rnd_f8ac3e192eb7,3,cand_7b7e86e4f14b,incumbent,5,0.889523,0.796556,0.446348,0.028508,0.889523,True
sampler_upgrade,Two-scale cover sampler,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_a7b92e57341b,rnd_fbaf259c56b7,4,cand_ab63c8e2a298,far_cover_probe,5,0.894022,0.796556,0.446348,0.028508,0.894022,False
sampler_upgrade,Two-scale cover sampler,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_a7b92e57341b,rnd_02e5c9aaeac4,5,cand_ea2d6ba56409,incumbent,5,0.894022,0.796556,0.654797,0.028508,0.894022,True
sampler_upgrade,Two-scale cover sampler,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_a7b92e57341b,rnd_87390c10bf5d,6,cand_bb7aefcad7a9,incumbent,5,0.894022,0.796556,0.50117,0.028508,0.894022,True
sampler_upgrade,Two-scale cover sampler,clip_only,red_bicycle,Red bicycle street photo,ses_43d57ee935b0,rnd_48c2a9cef884,1,cand_943daccf654d,near_cover_probe,5,0.914243,0.827935,0.720155,0.569049,0.914243,False
sampler_upgrade,Two-scale cover sampler,clip_only,red_bicycle,Red bicycle street photo,ses_43d57ee935b0,rnd_ff9e32c584de,2,cand_46c85d13bfe1,incumbent,5,0.914243,0.827935,0.720155,0.569049,0.914243,True
sampler_upgrade,Two-scale cover sampler,clip_only,red_bicycle,Red bicycle street photo,ses_43d57ee935b0,rnd_7b751070fb02,3,cand_9680301a376b,incumbent,5,0.914243,0.827935,0.720155,0.569049,0.914243,True
sampler_upgrade,Two-scale cover sampler,clip_only,red_bicycle,Red bicycle street photo,ses_43d57ee935b0,rnd_57ab349f8921,4,cand_454794e07726,incumbent,5,0.914243,0.827935,0.720155,0.569049,0.914243,True
sampler_upgrade,Two-scale cover sampler,clip_only,red_bicycle,Red bicycle street photo,ses_43d57ee935b0,rnd_31ebe21510e2,5,cand_755e271bf44c,incumbent,5,0.914243,0.827935,0.720155,0.569049,0.914243,True
sampler_upgrade,Two-scale cover sampler,clip_only,red_bicycle,Red bicycle street photo,ses_43d57ee935b0,rnd_01429458d412,6,cand_808c6f63eaee,incumbent,5,0.914243,0.827935,0.725037,0.569049,0.914243,True
preference_upgrade,Challenger-mixture updater,clip_only,mountain_lake,Mountain lake landscape,ses_bf209025d985,rnd_44d994b6de7b,1,cand_0299ca6eec24,near_cover_probe,5,0.810138,0.72766,0.319319,0.234757,0.810138,False
preference_upgrade,Challenger-mixture updater,clip_only,mountain_lake,Mountain lake landscape,ses_bf209025d985,rnd_dacc4fca988a,2,cand_2c65cb2eee45,near_cover_probe,5,0.811572,0.72766,0.344567,0.234757,0.811572,False
preference_upgrade,Challenger-mixture updater,clip_only,mountain_lake,Mountain lake landscape,ses_bf209025d985,rnd_2abda1ebd20e,3,cand_92651125c3e4,far_cover_probe,5,0.840084,0.72766,0.510749,0.234757,0.840084,False
preference_upgrade,Challenger-mixture updater,clip_only,mountain_lake,Mountain lake landscape,ses_bf209025d985,rnd_fdc167d19273,4,cand_9affed3ab4b0,incumbent,5,0.840084,0.72766,0.510749,0.234757,0.840084,True
preference_upgrade,Challenger-mixture updater,clip_only,mountain_lake,Mountain lake landscape,ses_bf209025d985,rnd_f06ceaa3e990,5,cand_e5248e59de0f,incumbent,5,0.840084,0.72766,0.510749,0.234757,0.840084,True
preference_upgrade,Challenger-mixture updater,clip_only,mountain_lake,Mountain lake landscape,ses_bf209025d985,rnd_1c4935c9aeb1,6,cand_6c99e0e40c06,incumbent,5,0.840084,0.72766,0.510749,0.234757,0.840084,True
preference_upgrade,Challenger-mixture updater,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_77ebfe1d4b57,rnd_7ea8ca8c8eae,1,cand_895df1ef3b94,near_cover_probe,5,0.868102,0.830629,0.075849,0.072912,0.868102,False
preference_upgrade,Challenger-mixture updater,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_77ebfe1d4b57,rnd_74c2503b81f8,2,cand_20082854f77a,near_cover_probe,5,0.871942,0.830629,0.599394,0.072912,0.871942,False
preference_upgrade,Challenger-mixture updater,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_77ebfe1d4b57,rnd_8f1dbc0e4e5b,3,cand_f8a47011dc86,incumbent,5,0.871942,0.830629,0.346577,0.072912,0.871942,True
