baseline_id,baseline_label,run_count,completed_runs,total_rounds,avg_rounds_per_run,total_feedback_events,avg_feedback_events_per_run,selected_candidate_count,failing_candidate_count
seed_fixed_per_candidate,Seed policy: fixed per candidate,9,9,18,2.0,9,1.0,9,7
seed_fixed_per_round,Seed policy: fixed per round,9,9,18,2.0,9,1.0,9,13
