policy_id,policy_label,steering_mode,target_id,target_label,session_id,round_id,round_index,candidate_id,candidate_index,sampler_role,clip_score,dinov2_score,incumbent_novelty,carried_forward,image_path
global_shared,Shared-token offset,low_dimensional,mountain_lake,Mountain lake landscape,ses_22fb9b965044,rnd_d46b47854994,4,cand_07428f9440cc,4,shell_counterprobe,0.850728,0.426514,0.0,False,paper\results\steering_mode_comparison_smoke\runs\global_shared\mountain_lake\runtime\artifacts\cand_07428f9440cc.png
global_shared,Shared-token offset,low_dimensional,mountain_lake,Mountain lake landscape,ses_22fb9b965044,rnd_a0d40330685d,5,cand_7892b9ecc185,0,incumbent,0.854271,0.45636,0.0,True,paper\results\steering_mode_comparison_smoke\runs\global_shared\mountain_lake\runtime\artifacts\cand_28eb4dbe4f3f.png
global_shared,Shared-token offset,low_dimensional,mountain_lake,Mountain lake landscape,ses_22fb9b965044,rnd_a0d40330685d,5,cand_e7f7d7588769,1,shell_probe,0.832889,0.481855,0.0,False,paper\results\steering_mode_comparison_smoke\runs\global_shared\mountain_lake\runtime\artifacts\cand_e7f7d7588769.png
global_shared,Shared-token offset,low_dimensional,mountain_lake,Mountain lake landscape,ses_22fb9b965044,rnd_a0d40330685d,5,cand_ce75ce9cd025,2,shell_counterprobe,0.83856,0.392439,0.0,False,paper\results\steering_mode_comparison_smoke\runs\global_shared\mountain_lake\runtime\artifacts\cand_ce75ce9cd025.png
global_shared,Shared-token offset,low_dimensional,mountain_lake,Mountain lake landscape,ses_22fb9b965044,rnd_a0d40330685d,5,cand_42e561696ace,3,shell_probe,0.759509,0.240023,0.0,False,paper\results\steering_mode_comparison_smoke\runs\global_shared\mountain_lake\runtime\artifacts\cand_42e561696ace.png
global_shared,Shared-token offset,low_dimensional,mountain_lake,Mountain lake landscape,ses_22fb9b965044,rnd_a0d40330685d,5,cand_c8c93c2638c9,4,shell_counterprobe,0.816342,0.329405,0.0,False,paper\results\steering_mode_comparison_smoke\runs\global_shared\mountain_lake\runtime\artifacts\cand_c8c93c2638c9.png
content_masked,Content-masked offset,content_masked,mountain_lake,Mountain lake landscape,ses_de4e4709a0a9,rnd_30231cc6cdfa,1,cand_08c2a114d4b0,0,baseline_prompt,0.804375,0.313807,0.0,False,paper\results\steering_mode_comparison_smoke\runs\content_masked\mountain_lake\runtime\artifacts\cand_08c2a114d4b0.png
content_masked,Content-masked offset,content_masked,mountain_lake,Mountain lake landscape,ses_de4e4709a0a9,rnd_30231cc6cdfa,1,cand_64cab2fbf432,1,shell_probe,0.802511,0.461789,0.0,False,paper\results\steering_mode_comparison_smoke\runs\content_masked\mountain_lake\runtime\artifacts\cand_64cab2fbf432.png
content_masked,Content-masked offset,content_masked,mountain_lake,Mountain lake landscape,ses_de4e4709a0a9,rnd_30231cc6cdfa,1,cand_c53fa8f05227,2,shell_counterprobe,0.797492,0.278537,0.0,False,paper\results\steering_mode_comparison_smoke\runs\content_masked\mountain_lake\runtime\artifacts\cand_c53fa8f05227.png
content_masked,Content-masked offset,content_masked,mountain_lake,Mountain lake landscape,ses_de4e4709a0a9,rnd_30231cc6cdfa,1,cand_5fd6af006e4c,3,shell_probe,0.829327,0.459901,0.0,False,paper\results\steering_mode_comparison_smoke\runs\content_masked\mountain_lake\runtime\artifacts\cand_5fd6af006e4c.png
