policy_id,policy_label,steering_mode,target_id,target_label,sampler,updater,feedback_mode,oracle_policy,max_rounds,baseline_clip,final_best_clip,delta_clip,baseline_dinov2,final_best_dinov2,delta_dinov2,final_best_image_path,target_path,trace_report
global_shared,Shared-token offset,low_dimensional,mountain_lake,Mountain lake landscape,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.752652,0.854271,0.101619,0.14678,0.45636,0.30958,paper\results\steering_mode_comparison_smoke\runs\global_shared\mountain_lake\runtime\artifacts\cand_28eb4dbe4f3f.png,paper\results\steering_mode_comparison_smoke\targets\Mountain%20lake.jpg,runs\global_shared\mountain_lake\trace_report.html
content_masked,Content-masked offset,content_masked,mountain_lake,Mountain lake landscape,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.804375,0.838925,0.03455,0.313807,0.501198,0.187391,paper\results\steering_mode_comparison_smoke\runs\content_masked\mountain_lake\runtime\artifacts\cand_e7214e8f9e40.png,paper\results\steering_mode_comparison_smoke\targets\Mountain%20lake.jpg,runs\content_masked\mountain_lake\trace_report.html
token_factorized,Token-factorized offset,token_factorized,mountain_lake,Mountain lake landscape,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.788584,0.827124,0.03854,0.384398,0.572556,0.188158,paper\results\steering_mode_comparison_smoke\runs\token_factorized\mountain_lake\runtime\artifacts\cand_c4c9b8948cce.png,paper\results\steering_mode_comparison_smoke\targets\Mountain%20lake.jpg,runs\token_factorized\mountain_lake\trace_report.html
