policy_id,policy_label,steering_mode,target_count,mean_baseline_clip,mean_final_best_clip,mean_delta_clip,mean_baseline_dinov2,mean_final_best_dinov2,mean_delta_dinov2
content_masked,Content-masked offset,content_masked,1,0.804375,0.838925,0.03455,0.313807,0.501198,0.187391
global_shared,Shared-token offset,low_dimensional,1,0.752652,0.854271,0.101619,0.14678,0.45636,0.30958
token_factorized,Token-factorized offset,token_factorized,1,0.788584,0.827124,0.03854,0.384398,0.572556,0.188158
