target_id,target_label,repeat_index,target_path,target_attribution,session_id,experiment_id,trace_report,runtime_root,max_rounds,baseline_clip,first_round_best_clip,final_best_clip,delta_clip,baseline_dinov2,first_round_best_dinov2,final_best_dinov2,delta_dinov2
cat_portrait_bw,Black-and-white cat portrait,0,E:\Projects\StableSteering\paper\results\oracle_plateau_escape_stagnation_control\targets\Cat_portrait_B%26W.JPG,"Wikimedia Commons, source page File:Cat portrait B&W.JPG",ses_a91cb6e912ae,exp_bcb75a1f4fab,runs\cat_portrait_bw\repeat_1\trace_report.html,runs\cat_portrait_bw\repeat_1\runtime,10,0.877254,0.877254,0.885019,0.007765,0.590347,0.590347,0.687882,0.097535
cat_portrait_bw,Black-and-white cat portrait,1,E:\Projects\StableSteering\paper\results\oracle_plateau_escape_stagnation_control\targets\Cat_portrait_B%26W.JPG,"Wikimedia Commons, source page File:Cat portrait B&W.JPG",ses_19c69fe15b8f,exp_5dbe893a7627,runs\cat_portrait_bw\repeat_2\trace_report.html,runs\cat_portrait_bw\repeat_2\runtime,10,0.856957,0.858086,0.864338,0.007381,0.547286,0.547286,0.650448,0.103162
cat_portrait_bw,Black-and-white cat portrait,2,E:\Projects\StableSteering\paper\results\oracle_plateau_escape_stagnation_control\targets\Cat_portrait_B%26W.JPG,"Wikimedia Commons, source page File:Cat portrait B&W.JPG",ses_43a5872e38bb,exp_67adefa92aa1,runs\cat_portrait_bw\repeat_3\trace_report.html,runs\cat_portrait_bw\repeat_3\runtime,10,0.816305,0.871003,0.864455,0.04815,0.142232,0.207938,0.543615,0.401383
mountain_lake,Mountain lake landscape,0,E:\Projects\StableSteering\paper\results\oracle_plateau_escape_stagnation_control\targets\Mountain%20lake.jpg,"Wikimedia Commons, source page File:Mountain lake.jpg",ses_764b8010e819,exp_ddfad66f1e8c,runs\mountain_lake\repeat_1\trace_report.html,runs\mountain_lake\repeat_1\runtime,10,0.818197,0.818197,0.835941,0.017744,0.268597,0.371371,0.49079,0.222193
mountain_lake,Mountain lake landscape,1,E:\Projects\StableSteering\paper\results\oracle_plateau_escape_stagnation_control\targets\Mountain%20lake.jpg,"Wikimedia Commons, source page File:Mountain lake.jpg",ses_72692e5de59d,exp_42d2b4f72f67,runs\mountain_lake\repeat_2\trace_report.html,runs\mountain_lake\repeat_2\runtime,10,0.807896,0.850405,0.815754,0.007858,0.394382,0.468236,0.375938,-0.018444
mountain_lake,Mountain lake landscape,2,E:\Projects\StableSteering\paper\results\oracle_plateau_escape_stagnation_control\targets\Mountain%20lake.jpg,"Wikimedia Commons, source page File:Mountain lake.jpg",ses_cb52d10c2e52,exp_05c9c65f9ca4,runs\mountain_lake\repeat_3\trace_report.html,runs\mountain_lake\repeat_3\runtime,10,0.844152,0.844152,0.824905,-0.019247,0.566751,0.566751,0.464042,-0.102709
red_bicycle,Red bicycle street photo,0,E:\Projects\StableSteering\paper\results\oracle_plateau_escape_stagnation_control\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,"Wikimedia Commons, source page File:The Red Bicycle. (15655615295).jpg",ses_641ae9feee04,exp_4a140d4e9a1a,runs\red_bicycle\repeat_1\trace_report.html,runs\red_bicycle\repeat_1\runtime,10,0.831038,0.88786,0.902743,0.071705,0.735076,0.735076,0.738838,0.003762
red_bicycle,Red bicycle street photo,1,E:\Projects\StableSteering\paper\results\oracle_plateau_escape_stagnation_control\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,"Wikimedia Commons, source page File:The Red Bicycle. (15655615295).jpg",ses_1483359d31ae,exp_40b8d82d497f,runs\red_bicycle\repeat_2\trace_report.html,runs\red_bicycle\repeat_2\runtime,10,0.879411,0.884961,0.915057,0.035646,0.725051,0.725051,0.714008,-0.011043
red_bicycle,Red bicycle street photo,2,E:\Projects\StableSteering\paper\results\oracle_plateau_escape_stagnation_control\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,"Wikimedia Commons, source page File:The Red Bicycle. (15655615295).jpg",ses_b7743e790e79,exp_66e277335dd1,runs\red_bicycle\repeat_3\trace_report.html,runs\red_bicycle\repeat_3\runtime,10,0.839109,0.88766,0.911457,0.072348,0.593495,0.66809,0.715602,0.122107
