target_id,target_label,repeats,mean_final_clip,std_final_clip,mean_delta_clip,std_delta_clip,mean_final_dinov2,std_final_dinov2,mean_delta_dinov2,std_delta_dinov2
cat_portrait_bw,Black-and-white cat portrait,3,0.891461,0.008073,0.075051,0.035989,0.51542,0.199018,0.262953,0.13365
mountain_lake,Mountain lake landscape,3,0.846776,0.006118,0.028563,0.014324,0.449595,0.044171,0.072773,0.153696
red_bicycle,Red bicycle street photo,3,0.920086,0.002781,0.049464,0.007723,0.698133,0.03562,0.024668,0.028279
