slice_id,policy_id,policy_label,oracle_policy,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,best_clip,best_dinov2,baseline_clip,baseline_dinov2,sampler,updater,feedback_mode
preference_slice,score_weighted_scalar,Score-weighted preference,clip_only,mountain_lake,Mountain lake landscape,ses_c6820c5529e4,rnd_7ef777537808,1,cand_09f013996106,0.822304,0.394691,0.79574,0.471906,diversity_shell,score_weighted_preference,scalar_rating
preference_slice,score_weighted_scalar,Score-weighted preference,clip_only,mountain_lake,Mountain lake landscape,ses_c6820c5529e4,rnd_086a184eea34,2,cand_dd3d679e3af2,0.829873,0.490567,0.79574,0.471906,diversity_shell,score_weighted_preference,scalar_rating
preference_slice,score_weighted_scalar,Score-weighted preference,clip_only,mountain_lake,Mountain lake landscape,ses_c6820c5529e4,rnd_421677af96c8,3,cand_7305c5a02560,0.835728,0.557111,0.79574,0.471906,diversity_shell,score_weighted_preference,scalar_rating
preference_slice,score_weighted_scalar,Score-weighted preference,clip_only,mountain_lake,Mountain lake landscape,ses_c6820c5529e4,rnd_592301026c32,4,cand_c2718c96c548,0.835728,0.557111,0.79574,0.471906,diversity_shell,score_weighted_preference,scalar_rating
preference_slice,score_weighted_scalar,Score-weighted preference,clip_only,mountain_lake,Mountain lake landscape,ses_c6820c5529e4,rnd_f648c295bc36,5,cand_f01a5adc0f26,0.835728,0.557111,0.79574,0.471906,diversity_shell,score_weighted_preference,scalar_rating
preference_slice,borda_topk,Borda preference,clip_only,mountain_lake,Mountain lake landscape,ses_37f6b885fc18,rnd_7f6e1f8b821e,1,cand_a8ea8eef3015,0.818735,0.599308,0.780828,0.470742,diversity_shell,borda_preference,top_k
preference_slice,borda_topk,Borda preference,clip_only,mountain_lake,Mountain lake landscape,ses_37f6b885fc18,rnd_1e7ffa05d238,2,cand_5de049e2fe1d,0.818735,0.599308,0.780828,0.470742,diversity_shell,borda_preference,top_k
preference_slice,borda_topk,Borda preference,clip_only,mountain_lake,Mountain lake landscape,ses_37f6b885fc18,rnd_b73d5748f1af,3,cand_be35b2e6dd95,0.822693,0.599308,0.780828,0.470742,diversity_shell,borda_preference,top_k
preference_slice,borda_topk,Borda preference,clip_only,mountain_lake,Mountain lake landscape,ses_37f6b885fc18,rnd_2e9cc3b85e43,4,cand_64cf63985e33,0.82751,0.599308,0.780828,0.470742,diversity_shell,borda_preference,top_k
preference_slice,borda_topk,Borda preference,clip_only,mountain_lake,Mountain lake landscape,ses_37f6b885fc18,rnd_7038dfb5d864,5,cand_dde245b24d62,0.839611,0.599308,0.780828,0.470742,diversity_shell,borda_preference,top_k
