policy_id,policy_label,oracle_policy,sampler,updater,feedback_mode,target_count,mean_baseline_clip,mean_final_clip,mean_delta_clip,mean_baseline_dinov2,mean_final_dinov2,mean_delta_dinov2,mean_late_improvement_rounds,incumbent_selection_share,mean_incumbent_margin_clip,mean_unique_selected_ratio,plateau_run_share
baseline_clip,Baseline CLIP oracle,clip_only,exploit_orthogonal,linear_preference,winner_only,3,0.83679,0.89085,0.05406,0.419185,0.500403,0.081218,1.0,0.733333,0.010581,0.388889,0.333333
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,two_scale_cover,bradley_terry_preference,top_k,3,0.85596,0.875633,0.019673,0.407334,0.521913,0.114579,0.333333,0.666667,0.018328,0.444444,0.666667
pareto_listwise,Pareto listwise,pareto_frontier_mix,quality_diversity_mix,plackett_luce_preference,top_k,3,0.838434,0.867272,0.028838,0.471131,0.5547,0.083569,0.333333,0.266667,0.001313,0.777778,0.0
restart_directional,Restart directional mix,clip_directional_mix,restart_bridge_mix,bradley_terry_preference,top_k,3,0.831852,0.861638,0.029787,0.357432,0.58231,0.224878,1.0,0.0,-0.001787,1.0,0.0
restart_advantage,Restart advantage mix,clip_advantage_novelty_mix,restart_bridge_mix,advantage_softmax_preference,scalar_rating,3,0.825589,0.894251,0.068662,0.3181,0.439321,0.121222,1.0,0.666667,0.011732,0.444444,0.333333
