policy_id,policy_label,oracle_policy,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,winner_sampler_role,candidate_count,best_clip,baseline_clip,best_dinov2,baseline_dinov2,winner_oracle_score,winner_carried_forward
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_d31bd7332dfc,rnd_48edf81819fd,3,cand_0a948f9dd1f0,incumbent,5,0.888754,0.842078,0.363124,0.05641,0.888754,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_d31bd7332dfc,rnd_d6e9ce8a4ff7,4,cand_57d3ddb1e299,incumbent,5,0.888754,0.842078,0.594658,0.05641,0.888754,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_d31bd7332dfc,rnd_35547dff4d6b,5,cand_1d3f483e1a62,incumbent,5,0.888754,0.842078,0.334465,0.05641,0.888754,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_d31bd7332dfc,rnd_68f28494ad46,6,cand_035944ddf110,incumbent,5,0.888754,0.842078,0.334465,0.05641,0.888754,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_a06856916c4d,rnd_550c8e628cd9,1,cand_2dac0fcdc25b,baseline_prompt,5,0.893702,0.893702,0.706231,0.69736,0.893702,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_a06856916c4d,rnd_71144eef8eda,2,cand_66deadc277de,incumbent,5,0.895317,0.893702,0.69736,0.69736,0.857303,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_a06856916c4d,rnd_4071ae277752,3,cand_b0324438d71e,far_cover_probe,5,0.893702,0.893702,0.731039,0.69736,0.927806,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_a06856916c4d,rnd_a797ca360ce8,4,cand_21830d412b3d,incumbent,5,0.890048,0.893702,0.731039,0.69736,0.890048,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_a06856916c4d,rnd_80055aef877c,5,cand_420f531cb4a8,near_cover_probe,5,0.890048,0.893702,0.736158,0.69736,0.879221,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_a06856916c4d,rnd_8fd683d6100e,6,cand_a1e38aa1910b,incumbent,5,0.881506,0.893702,0.736158,0.69736,0.881506,True
