policy_id,policy_label,steering_mode,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,best_clip,best_dinov2,baseline_clip,baseline_dinov2
token_factorized,Token-factorized offset,token_factorized,cat_portrait_bw,Black-and-white cat portrait,ses_f0ee8b8c592e,rnd_7d0a987b4a47,3,cand_7d6e5ae1c64b,0.891698,0.63025,0.823789,0.306605
token_factorized,Token-factorized offset,token_factorized,cat_portrait_bw,Black-and-white cat portrait,ses_f0ee8b8c592e,rnd_0a991a5c4e3f,4,cand_4f7914cac9a5,0.891698,0.63025,0.823789,0.306605
token_factorized,Token-factorized offset,token_factorized,cat_portrait_bw,Black-and-white cat portrait,ses_f0ee8b8c592e,rnd_e89e9b425113,5,cand_80e62d04a96a,0.891698,0.63025,0.823789,0.306605
token_vector_field,Token-vector-field offset,token_vector_field,cat_portrait_bw,Black-and-white cat portrait,ses_d0feca8f53e7,rnd_dfdfe0ad4e90,1,cand_26bbfa5db6c8,0.831418,0.319229,0.813434,0.158455
token_vector_field,Token-vector-field offset,token_vector_field,cat_portrait_bw,Black-and-white cat portrait,ses_d0feca8f53e7,rnd_5a9ac9936936,2,cand_de6d6d4ae0e7,0.872749,0.319229,0.813434,0.158455
token_vector_field,Token-vector-field offset,token_vector_field,cat_portrait_bw,Black-and-white cat portrait,ses_d0feca8f53e7,rnd_ecb037909e8b,3,cand_b563229680e8,0.872749,0.319229,0.813434,0.158455
token_vector_field,Token-vector-field offset,token_vector_field,cat_portrait_bw,Black-and-white cat portrait,ses_d0feca8f53e7,rnd_31acfd95fd57,4,cand_1c06447b5067,0.878795,0.319229,0.813434,0.158455
token_vector_field,Token-vector-field offset,token_vector_field,cat_portrait_bw,Black-and-white cat portrait,ses_d0feca8f53e7,rnd_b08214c42f46,5,cand_29900c9644ab,0.878795,0.532374,0.813434,0.158455
global_shared,Shared-token offset,low_dimensional,red_bicycle,Red bicycle street photo,ses_d68b04d74c11,rnd_4d7e17c44466,1,cand_817215628e60,0.872388,0.753465,0.83162,0.691792
global_shared,Shared-token offset,low_dimensional,red_bicycle,Red bicycle street photo,ses_d68b04d74c11,rnd_164c351e7727,2,cand_06739eef6bcd,0.872388,0.753465,0.83162,0.691792
global_shared,Shared-token offset,low_dimensional,red_bicycle,Red bicycle street photo,ses_d68b04d74c11,rnd_3025d9cc2c32,3,cand_390ae7022b5a,0.917246,0.753465,0.83162,0.691792
global_shared,Shared-token offset,low_dimensional,red_bicycle,Red bicycle street photo,ses_d68b04d74c11,rnd_e5c8d74516d6,4,cand_1c5b17ae4c83,0.917246,0.753465,0.83162,0.691792
global_shared,Shared-token offset,low_dimensional,red_bicycle,Red bicycle street photo,ses_d68b04d74c11,rnd_cf2cd28fc252,5,cand_87a40ad9c33c,0.917246,0.753465,0.83162,0.691792
content_masked,Content-masked offset,content_masked,red_bicycle,Red bicycle street photo,ses_78ff19f75046,rnd_7e11e12ae4df,1,cand_6661cb771dbf,0.917724,0.668454,0.826407,0.536881
content_masked,Content-masked offset,content_masked,red_bicycle,Red bicycle street photo,ses_78ff19f75046,rnd_19af933b6672,2,cand_4751932990e4,0.917724,0.668454,0.826407,0.536881
content_masked,Content-masked offset,content_masked,red_bicycle,Red bicycle street photo,ses_78ff19f75046,rnd_33b1e8af79ba,3,cand_03fb6f24bffc,0.917724,0.704972,0.826407,0.536881
content_masked,Content-masked offset,content_masked,red_bicycle,Red bicycle street photo,ses_78ff19f75046,rnd_9a78ea3a5e61,4,cand_2c34050464aa,0.917724,0.704972,0.826407,0.536881
content_masked,Content-masked offset,content_masked,red_bicycle,Red bicycle street photo,ses_78ff19f75046,rnd_f136b0566238,5,cand_601149e141dd,0.917724,0.72297,0.826407,0.536881
