policy_id,policy_label,steering_mode,target_count,mean_baseline_clip,mean_final_best_clip,mean_delta_clip,mean_baseline_dinov2,mean_final_best_dinov2,mean_delta_dinov2
content_masked,Content-masked offset,content_masked,3,0.822268,0.883871,0.061604,0.356125,0.573085,0.21696
global_shared,Shared-token offset,low_dimensional,3,0.815959,0.878756,0.062797,0.345693,0.642567,0.296874
token_factorized,Token-factorized offset,token_factorized,3,0.816206,0.878906,0.0627,0.326781,0.638518,0.311737
token_vector_field,Token-vector-field offset,token_vector_field,3,0.837586,0.881679,0.044093,0.429967,0.622065,0.192098
