target_id,target_label,repeats,mean_final_clip,std_final_clip,mean_delta_clip,std_delta_clip,mean_final_dinov2,std_final_dinov2,mean_delta_dinov2,std_delta_dinov2
cat_portrait_bw,Black-and-white cat portrait,3,0.883408,0.015903,0.0718,0.012158,0.56458,0.04673,0.268045,0.255736
mountain_lake,Mountain lake landscape,3,0.843878,0.005414,0.047716,0.030331,0.505059,0.067495,0.07542,0.092373
red_bicycle,Red bicycle street photo,3,0.915993,0.011447,0.040793,0.056094,0.714778,0.034985,0.0838,0.13498
