condition_id,condition_label,run_count,target_count,mean_baseline_clip,mean_final_clip,mean_delta_clip,ci_low_final_clip,ci_high_final_clip,ci_low_delta_clip,ci_high_delta_clip,mean_baseline_siglip,mean_final_siglip,mean_delta_siglip,ci_low_final_siglip,ci_high_final_siglip,ci_low_delta_siglip,ci_high_delta_siglip,mean_baseline_dinov2,mean_final_dinov2,mean_delta_dinov2,ci_low_final_dinov2,ci_high_final_dinov2,ci_low_delta_dinov2,ci_high_delta_dinov2,mean_baseline_lpips,mean_final_lpips,mean_delta_lpips,ci_low_final_lpips,ci_high_final_lpips,ci_low_delta_lpips,ci_high_delta_lpips
blip_detailed_caption,BLIP selected detailed caption,6,6,0.762625,0.809612,0.046988,0.773261,0.845466,-0.011219,0.136167,0.747378,0.785821,0.038443,0.728324,0.840673,-0.006033,0.089822,0.407485,0.477503,0.070017,0.255539,0.693364,0.026028,0.114479,0.707037,0.675854,-0.031183,0.619234,0.737472,-0.061004,0.00096
blip_standard_caption,BLIP caption,6,6,0.718632,0.786083,0.067451,0.735244,0.832176,0.047622,0.095577,0.693667,0.749712,0.056045,0.698161,0.800682,0.036775,0.081111,0.299809,0.3914,0.091591,0.167529,0.620858,-0.014137,0.209776,0.725943,0.691801,-0.034142,0.641929,0.733224,-0.083064,0.001916
human_caption,Human caption,6,6,0.758726,0.798346,0.03962,0.735111,0.853728,0.016397,0.073072,0.737845,0.78548,0.047635,0.729008,0.842093,0.00423,0.099581,0.383035,0.476484,0.093448,0.254751,0.68564,1e-06,0.217895,0.727267,0.685818,-0.041449,0.646878,0.725295,-0.07592,-0.013906
