slice_id,policy_id,policy_label,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,best_candidate_score,best_seen_score,baseline_score,feedback_mode,sampler,updater
feedback_slice,winner_average_winner_only,Winner average + winner only,mountain_lake,Mountain lake landscape,ses_66a206a49357,rnd_e6b3d2f6a312,5,cand_670c26eda6da,0.858373,0.858373,0.752595,winner_only,exploit_orthogonal,winner_average
feedback_slice,linear_winner_only,Linear preference + winner only,mountain_lake,Mountain lake landscape,ses_8db65160e577,rnd_a0d632d7bdf9,1,cand_73766e4d682b,0.798201,0.798201,0.798201,winner_only,exploit_orthogonal,linear_preference
feedback_slice,linear_winner_only,Linear preference + winner only,mountain_lake,Mountain lake landscape,ses_8db65160e577,rnd_34ef97d238e9,2,cand_c910e0af9061,0.854379,0.854379,0.798201,winner_only,exploit_orthogonal,linear_preference
feedback_slice,linear_winner_only,Linear preference + winner only,mountain_lake,Mountain lake landscape,ses_8db65160e577,rnd_1d3ccf6a0d7d,3,cand_bd2673dbf422,0.854379,0.854379,0.798201,winner_only,exploit_orthogonal,linear_preference
feedback_slice,linear_winner_only,Linear preference + winner only,mountain_lake,Mountain lake landscape,ses_8db65160e577,rnd_1232c449d1b6,4,cand_d79571853479,0.854379,0.854379,0.798201,winner_only,exploit_orthogonal,linear_preference
feedback_slice,linear_winner_only,Linear preference + winner only,mountain_lake,Mountain lake landscape,ses_8db65160e577,rnd_c82b633293ca,5,cand_33f0aa8a998b,0.854379,0.854379,0.798201,winner_only,exploit_orthogonal,linear_preference
feedback_slice,score_weighted_scalar,Score-weighted + scalar ratings,mountain_lake,Mountain lake landscape,ses_cf6aa62396c4,rnd_24596ca4ffbf,1,cand_709f96030007,0.842815,0.842815,0.815325,scalar_rating,exploit_orthogonal,score_weighted_preference
feedback_slice,score_weighted_scalar,Score-weighted + scalar ratings,mountain_lake,Mountain lake landscape,ses_cf6aa62396c4,rnd_9fb79fbbe805,2,cand_9bc6d2155e02,0.857129,0.857129,0.815325,scalar_rating,exploit_orthogonal,score_weighted_preference
feedback_slice,score_weighted_scalar,Score-weighted + scalar ratings,mountain_lake,Mountain lake landscape,ses_cf6aa62396c4,rnd_56d9f4316cd8,3,cand_d97e8ba81a57,0.857129,0.857129,0.815325,scalar_rating,exploit_orthogonal,score_weighted_preference
feedback_slice,score_weighted_scalar,Score-weighted + scalar ratings,mountain_lake,Mountain lake landscape,ses_cf6aa62396c4,rnd_73d4aadad23c,4,cand_28d95a413464,0.857129,0.857129,0.815325,scalar_rating,exploit_orthogonal,score_weighted_preference
